STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
166,ꪮ꫁ꪱꪥ,1,,,d.,1,"bố, cha",,ꪮ꫁ꪱꪥ ꪮꪮꪀ ꪹꪯꪸꪣ ꪎꪲꪉ: cha sinh mẹ đẻ,
167,ꪮ꫁ꪱꪥ,1,,,d.,2,anh,vh,ꪮ꫁ꪱꪥ ꪀꪾꪚ ꪙ꫁ꪮꪉ: anh với em,
168,ꪮ꫁ꪱꪥ,1,,,d.,3,"gã, anh chàng",,ꪮ꫁ꪱꪥ ꪙ꫁ꪽ ꪣꪰꪀ ꪵꪚ꫁ꪫ ꪹꪩ: gã ấy hay lừa dối,
170,ꪮ꫁ꪱꪥ ꪮꪱꪫ,1,,,đ.,1,ông chú,,ꪮ꫁ꪱꪥ ꪮꪱꪫ ꪹꪯꪸꪣ ꪩꪺ: ông chú bà thím,
171,ꪮ꫁ꪱꪥ ꪮꪱꪫ,1,,,đ.,2,"bố dượng, cha dượng",,: ,
172,ꪮ꫁ꪱꪥ ꪚ꪿ꪱꪫ,1,,,d.,1,chàng trai,,: ,
173,ꪮ꫁ꪱꪥ ꪹꪯꪸꪣ,1,,,d.,1,"bố mẹ, cha mẹ",,: ,
174,ꪮ꫁ꪱꪥ ꪩꪸ꫁ꪉ,1,,,d.,1,"bố nuôi, cha nuôi ",,: ,
175,ꪮ꫁ꪱꪥ ꪩꪴꪉ,1,,,d.,1,bác trai,,ꪮ꫁ꪱꪥ ꪩꪴꪉ ꪹꪯꪸꪣ ꪜ꫁ꪱ: bác trai và bác gái,
176,ꪮ꫁ꪱꪥ ꪨꪺꪉ,1,,,d.,1,ông anh,"ruột, họ",: ,
177,ꪮ꫁ꪱꪥ ꪨꪺꪉ,1,,,d.,2,,,: ,
178,ꪮ꫁ꪱꪥ ꪻꪢ꪿,1,,,d.,1,"bố dượng, cha dượng",,: ,
179,ꪮ꫁ꪱꪥ ꪙ꫁ꪱ,1,,,d.,1,ông cậu,,: ,
180,ꪮ꫁ꪱꪥ ꪙ꫁ꪱ,2,,,d.,1,,,: ,
181,ꪮ꫁ꪱꪥ ꪙ꫁ꪮꪉ,1,,,d.,1,anh em,"ruột, họ","ꪮ꫁ꪱꪥ ꪙ꫁ꪮꪉ ꪵꪜꪀ ꪄꪰ꫁ꪉ ꪘꪸꪉ: anh em như cái bướu, anh em như thể tay chân",
182,ꪮ꫁ꪱꪥ ꪮꪮꪀ,1,,,d.,1,"bố đẻ, cha đẻ",,ꪮ꫁ꪱꪥ ꪮꪮꪀ ꪹꪚ꪿ꪱ ꪕꪷ꪿ ꪹꪯꪸꪣ ꪩꪸ꫁ꪉ: bố đẻ không bằng mẹ nuôi,
183,ꪮ꫁ꪱꪥ ꪝꪲ꪿,1,,,đ.,1,anh,bậc trên,: ,
184,ꪮ꫁ꪱꪥ ꪜꪴ꪿,1,,,d.,1,"ông nội, ông",,: ,
185,ꪮ꫁ꪱꪥ ꪔꪱ,1,,,d.,1,ông ngoại,,: ,
186,ꪮ꫁ꪱꪥ ꪹꪖ꫁ꪱ,1,,,d.,1,,,: ,
187,ꪮ꫁ꪱꪥ ꪔꪱ,2,,,d.,1,bố vợ,,: ,
188,ꪮ꫁ꪱꪥ ꪹꪮ꫁ꪥ,1,,,d.,1,anh chị,,: ,
189,ꪮ꫁ꪱꪥ ꪎꪳꪚ,1,,,d.,1,,,: ,
190,ꪯꪱꪥ,1,,,d.,1,anh,,ꪔ꫁ꪮꪙ ꪏꪴꪣ ꪯꪱꪥ ꪶꪛ꫁ ꪶꪓ꫁ꪥ: đón các anh bộ đội,
191,ꪯꪱꪥ ꪥꪱ,1,,,c.,1,ái chà,,ꪯꪱꪥ ꪋꪱ ꪋ꪿ꪽ ꪹꪭꪸ꪿ꪉ: ,
192,ꪯꪱꪥ ꪼꪏ,1,,,d.,1,thầy giáo,,: ,
193,ꪮꪱꪣ,1,,,đg.,1,thổi,,ꪮꪱꪣ ꪹꪄ꫁ꪱ: thổi cơm,
194,ꪮꪱꪣ ꪶꪛ꪿,1,,,d.,1,um ma,,ꪉꪺ ꪭ꫁ꪮꪉ ꪮꪱꪣ ꪶꪛ꪿: bò kêu um ma,
195,ꪯꪱꪣ ꪗ꪿ꪱꪣ,1,,,t.,1,tủm hụp,,ꪄꪽ ꪶꪜ꪿ꪀ ꪬꪺ ꪯꪱꪣ ꪗ꪿ꪱꪣ: khăn đội đầu tủm hụp,
196,ꪯꪱꪣ ꪗ꪿ꪱꪣ,1,,,t.,2,"loè xoè, bè xoè",,ꪬꪱꪉ ꪹꪎ꫁ ꪯꪱꪣ ꪗ꪿ꪱꪣ: đuôi áo loè xoè,
197,ꪮꪱꪙ,1,,,d.,1,yên,,ꪮꪱꪙ ꪣ꫁ꪱ: yên ngựa,
198,ꪮꪱꪙ,2,,,t.,1,,,: ,
